name,tree,rep,model,logl,k,AIC,AICc,BIC,rf,treelength
LAC,ruhfel,5,m4,-29573.8627,673,60493.7255,967697.7255,62895.2213,230,22.043173782700027
LAC,ruhfel,5,m5,-33245.8081,653,67797.6162,921921.6162,70127.7451,248,29.36306802420003
LAC,salichos,5,m2,-7250.6824,63,14627.3647,14668.0920,14852.1704,0,9.955175966399997
LAC,salichos,5,m3,-7533.2240,44,15154.4480,15172.6968,15311.4551,0,7.313458193599998
LAC,salichos,5,m1,-7143.3781,45,14376.7562,14395.9228,14537.3317,2,8.889253649800002
LAC,salichos,5,m5,-8653.8874,43,17393.7748,17411.1326,17547.2136,2,10.945061900099999
LAC,salichos,5,m4,-7712.4082,62,15548.8164,15588.0727,15770.0538,2,6.859172614499999
LAC,salichos,5,GTR20,-7477.9521,251,15457.9041,28108.3041,16353.5586,2,6.440669338
LAC,salichos,5,poisson,-8222.9377,43,16531.8754,16549.2332,16685.3142,2,6.141205831
LAC,rayfinned,5,GTR20,-37713.5844,815,77057.1687,1407137.1687,79965.3695,116,25.82101237379999
LAC,rayfinned,5,m5,-43528.3362,607,88270.6724,826382.6724,90436.6576,116,33.01648795019999
LAC,rayfinned,5,m4,-38666.6582,626,78585.3163,863589.3163,80819.1000,122,26.65356991279997
