name,model,optim,logl,k,AIC,AICc,BIC,rf_pandit,rf_q1,treelength
PF00107,q2,optimizedtruetree,-33960.9855,231,68383.9710,175567.9710,69163.6603,0,116,112.64635407139997
PF00107,q5,inferredtree,-37362.4603,212,75148.9207,105252.9207,75864.4797,124,126,237.53887811440006
PF00107,poisson,inferredtree,-36375.1178,211,73172.2357,95538.2357,73884.4194,138,118,75.71589394589998
PF00107,q4,inferredtree,-35238.5796,232,70941.1591,179053.1591,71724.2237,138,110,150.76028607229998
PF00107,q3,optimizedtruetree,-34448.5819,232,69361.1638,177473.1638,70144.2284,0,116,146.53325338710005
PF00107,poisson,optimizedtruetree,-36583.6886,211,73589.3771,95955.3771,74301.5609,0,116,77.3944072351
PF00516,q4,optimizedtruetree,-13091.0903,41,26264.1806,26270.2869,26444.8626,0,6,7.2884393128
PF00516,pogofit,optimizedtruetree,-12063.6675,42,24211.3350,24217.7506,24396.4239,0,6,11.563375745099998
PF00516,q3,inferredtree,-12734.7320,61,25591.4640,25605.3685,25860.2837,6,12,6.597380838000001
PF00516,q2,inferredtree,-12503.5158,42,25091.0317,25097.4473,25276.1206,10,8,15.851385287399998
PF00516,q1,inferredtree,-12324.2317,42,24732.4634,24738.8791,24917.5524,6,0,15.728624913999997
PF00516,q5,optimizedtruetree,-14545.0541,41,29172.1082,29178.2146,29352.7903,0,6,9.6075582752
PF00516,pogofit,inferredtree,-12058.4284,42,24200.8568,24207.2724,24385.9457,4,2,11.701113318699997
PF00516,q1,optimizedtruetree,-12331.4930,42,24746.9860,24753.4016,24932.0749,0,6,15.2326960534
PF00516,q4,inferredtree,-13087.6065,41,26257.2130,26263.3193,26437.8950,8,8,7.290864200500001
PF00516,q5,inferredtree,-14520.3456,41,29122.6912,29128.7976,29303.3733,10,12,9.586013603699998
PF00516,poisson,optimizedtruetree,-13837.3452,41,27756.6903,27762.7967,27937.3724,0,6,5.384063662100001
PF00516,q3,optimizedtruetree,-12735.4170,61,25592.8340,25606.7384,25861.6537,0,6,6.6031797529
PF00516,poisson,inferredtree,-13832.1929,41,27746.3858,27752.4922,27927.0679,10,12,5.372910157499999
PF00516,q2,optimizedtruetree,-12516.9704,42,25117.9409,25124.3565,25303.0298,0,6,15.478104783400005
PF04290,q4,optimizedtruetree,-8426.0032,52,16956.0064,16996.2400,17124.8516,0,22,45.80477712049999
PF04290,q3,inferredtree,-8231.5245,71,16605.0491,16691.6932,16835.5878,18,14,28.310930776999996
PF04290,q2,inferredtree,-8221.6654,52,16547.3308,16587.5643,16716.1760,16,10,27.58200304489999
