name,tree,repl,model,modelq
LAC,rtree64_bl3.0.tree,2,Blosum62+I+G4,2
LAC,rtree64_bl3.0.tree,2,VT+F+I,3
LAC,rtree64_bl3.0.tree,2,mtMet+F+I,4
LAC,rtree64_bl3.0.tree,2,HIVw,5
LAC,rtree64_bl3.0.tree,3,LG+F+I+G4,1
LAC,rtree64_bl3.0.tree,3,HIVb+F+G4,2
LAC,rtree64_bl3.0.tree,3,LG+F+I,3
LAC,rtree64_bl3.0.tree,3,JTT,4
LAC,rtree64_bl3.0.tree,3,HIVw,5
LAC,rtree64_bl3.0.tree,4,LG+F+I+G4,1
LAC,rtree64_bl3.0.tree,4,WAG+I+G4,2
LAC,rtree64_bl3.0.tree,4,rtREV+F+I,3
LAC,rtree64_bl3.0.tree,4,HIVb+F+I,4
LAC,rtree64_bl3.0.tree,4,mtMAM,5
LAC,rtree64_bl3.0.tree,5,LG+F+I+G4,1
LAC,rtree64_bl3.0.tree,5,WAG+I+G4,2
LAC,rtree64_bl3.0.tree,5,PMB+F+I,3
LAC,rtree64_bl3.0.tree,5,FLU+F+I,4
LAC,rtree64_bl3.0.tree,5,mtMAM,5
LAC,btree64_bl0.3.tree,1,JTT+F+I+G4,1
LAC,btree64_bl0.3.tree,1,PMB+F+G4,2
LAC,btree64_bl0.3.tree,1,mtREV+F+I+G4,3
LAC,btree64_bl0.3.tree,1,mtZOA+F+G4,4
LAC,btree64_bl0.3.tree,1,mtART,5
LAC,btree64_bl0.3.tree,2,JTT+F+I+G4,1
LAC,btree64_bl0.3.tree,2,mtInv+F+G4,2
LAC,btree64_bl0.3.tree,2,cpREV,3
LAC,btree64_bl0.3.tree,2,HIVw+I,4
LAC,btree64_bl0.3.tree,2,mtART,5
LAC,btree64_bl0.3.tree,3,JTT+I+G4,1
LAC,btree64_bl0.3.tree,3,LG+G4,2
LAC,btree64_bl0.3.tree,3,cpREV+F,3
LAC,btree64_bl0.3.tree,3,mtVer+I+G4,4
LAC,btree64_bl0.3.tree,3,mtART,5
LAC,btree64_bl0.3.tree,4,JTT+I+G4,1
LAC,btree64_bl0.3.tree,4,JTT+F,2
LAC,btree64_bl0.3.tree,4,HIVw+I+G4,3
LAC,btree64_bl0.3.tree,4,rtREV+F,4
LAC,btree64_bl0.3.tree,4,mtART,5
LAC,btree64_bl0.3.tree,5,JTT+I+G4,1
LAC,btree64_bl0.3.tree,5,FLU+F+G4,2
LAC,btree64_bl0.3.tree,5,cpREV+F,3
LAC,btree64_bl0.3.tree,5,rtREV+I,4
LAC,btree64_bl0.3.tree,5,mtART,5
LAC,btree64_bl3.0.tree,1,LG+F+I+G4,1
LAC,btree64_bl3.0.tree,1,Blosum62+G4,2
LAC,btree64_bl3.0.tree,1,Blosum62+F,3
LAC,btree64_bl3.0.tree,1,rtREV,4
LAC,btree64_bl3.0.tree,1,mtMAM,5
LAC,btree64_bl3.0.tree,2,LG+F+I+G4,1
