name,model,logl,k,AIC,AICc,BIC,rf,treelength
PF02852,m2,-18593.7850,219,37625.5699,133985.5699,38271.3484,68,63.2342583036
PF02852,m3,-18939.0520,220,38318.1040,135558.1040,38966.8312,56,90.22050978770002
PF02852,GTR20,-18243.5133,407,37301.0265,369413.0265,38501.1718,52,53.28890344849998
PF02852,m1,-18223.5576,200,36847.1153,117247.1153,37436.8673,0,63.72833724880001
PF03478,poisson,-10609.2194,205,21628.4387,106088.4387,22183.8924,98,47.12138248619999
PF03478,GTR20,-9678.6070,413,20183.2141,362147.2141,21302.2501,78,51.69238900679999
PF03478,m3,-10034.8568,205,20479.7136,104939.7136,21035.1672,82,58.259324975200016
PF03478,m2,-9858.6656,226,20169.3312,122773.3312,20781.6850,62,119.44597322960003
PF03478,m1,-9697.7518,225,19845.5036,121545.5036,20455.1479,0,80.40807542780001
PF03478,m4,-10253.9262,207,20921.8525,107033.8525,21482.7252,62,128.07041221929993
PF03478,m5,-11115.0374,206,22642.0747,107926.0747,23200.2379,108,94.51134742939999
PF00656,m2,-55758.2455,238,111992.4909,112255.8335,113065.5780,50,157.2456391002999
PF00656,m3,-56937.9439,238,114351.8878,114615.2304,115424.9749,78,76.12766422399993
PF00656,m1,-54910.0706,238,110296.1412,110559.4838,111369.2282,0,168.80492781329994
PF00656,m5,-63126.4454,238,126728.8908,126992.2334,127801.9779,100,156.56446684610003
PF00656,m4,-58331.1120,238,117138.2240,117401.5666,118211.3110,74,94.1830502215
