name,tree,rep,model,optim,logl,k,AIC,AICc,BIC,rf_true,treelength
NP,opisthokonta,3,poisson,inferredtree,-55892.6820,137,112059.3640,112164.3974,112636.2163,4,24.625801366200008
NP,opisthokonta,3,r1,inferredtree,-51230.7223,157,102775.4447,102921.3623,103436.5089,2,28.364940306599983
NP,opisthokonta,3,r2,inferredtree,-53646.5932,156,107605.1864,107748.8345,108262.0400,4,28.181584764999993
NP,opisthokonta,3,r3,inferredtree,-56249.0317,156,112810.0634,112953.7115,113466.9170,4,32.3352188854
NP,opisthokonta,3,r4,inferredtree,-58452.7134,156,117217.4268,117361.0749,117874.2804,6,36.616348002399995
NP,opisthokonta,3,r5,inferredtree,-60979.8093,137,122233.6185,122338.6519,122810.4707,14,43.460618317
NP,opisthokonta,3,poisson,optimizedtruetree,-55899.0158,137,112072.0316,112177.0649,112648.8838,0,24.668738319
NP,opisthokonta,3,r1,optimizedtruetree,-51231.5261,157,102777.0522,102922.9699,103438.1164,0,28.349209467200005
NP,opisthokonta,3,r2,optimizedtruetree,-53655.8171,156,107623.6342,107767.2823,108280.4878,0,28.2198249081
NP,opisthokonta,3,r3,optimizedtruetree,-56255.6415,156,112823.2829,112966.9310,113480.1365,0,32.363810356900004
NP,opisthokonta,3,r4,optimizedtruetree,-58468.3171,156,117248.6342,117392.2822,117905.4878,0,36.611750128900006
NP,opisthokonta,3,r5,optimizedtruetree,-60997.1006,137,122268.2011,122373.2345,122845.0533,0,43.407465828899994
NP,prum,3,poisson,inferredtree,-30553.9367,397,61901.8733,65061.9933,63573.4816,72,8.193540050499994
NP,prum,3,r1,inferredtree,-28006.6631,399,56811.3262,60068.4691,58491.3556,70,9.2200163512
NP,prum,3,r2,inferredtree,-29421.3823,398,59638.7646,62846.8859,61314.5835,66,8.2919862074
NP,prum,3,r3,inferredtree,-30801.3140,398,62398.6280,65606.7492,64074.4469,70,9.45162599420001
NP,prum,3,r4,inferredtree,-32170.5193,398,65137.0386,68345.1598,66812.8574,74,25.77389544089996
NP,prum,3,r5,inferredtree,-33549.0414,397,67892.0829,71052.2029,69563.6911,72,10.39116275759998
NP,prum,3,poisson,optimizedtruetree,-30564.6885,397,61923.3769,65083.4969,63594.9852,0,8.201262610000002
NP,prum,3,r1,optimizedtruetree,-28018.2411,399,56834.4823,60091.6252,58514.5117,0,9.201559298299994
NP,prum,3,r2,optimizedtruetree,-29434.5622,398,59665.1244,62873.2456,61340.9433,0,8.294706776600005
NP,prum,3,r3,optimizedtruetree,-30824.1884,398,62444.3768,65652.4980,64120.1956,0,9.457808799700006
