name,tree,rep,model,optim,logl,k,AIC,AICc,BIC,rf_true,treelength
NP,dosreis,3,m4,optimizedtruetree,-67422.2783,564,135972.5566,773292.5566,138347.3350,0,21.994583861300008
NP,dosreis,3,m5,optimizedtruetree,-75790.9574,546,152673.9149,749997.9149,154972.9025,0,28.691812260299972
NP,dosreis,3,poisson,optimizedtruetree,-69378.9747,545,139847.9495,734987.9495,142142.7265,0,21.513280967899966
NP,opisthokonta,3,m1,inferredtree,-51230.7223,157,102775.4447,102921.3623,103436.5089,2,28.364940306599983
NP,opisthokonta,3,m2,inferredtree,-52622.6885,157,105559.3770,105705.2947,106220.4412,2,32.621305786199976
NP,opisthokonta,3,m3,inferredtree,-53475.1609,156,107262.3218,107405.9699,107919.1754,6,26.286695260500007
NP,opisthokonta,3,m4,inferredtree,-54730.6892,138,109737.3785,109844.2420,110318.4413,6,43.567883563299986
NP,opisthokonta,3,m5,inferredtree,-60979.8093,137,122233.6185,122338.6519,122810.4707,14,43.460618317
NP,opisthokonta,3,poisson,inferredtree,-55892.6820,137,112059.3640,112164.3974,112636.2163,4,24.625801366200008
NP,opisthokonta,3,m1,optimizedtruetree,-51231.5261,157,102777.0522,102922.9699,103438.1164,0,28.349209467200005
NP,opisthokonta,3,m2,optimizedtruetree,-52622.9264,157,105559.8527,105705.7704,106220.9169,0,32.547141591400006
NP,opisthokonta,3,m3,optimizedtruetree,-53478.1852,156,107268.3704,107412.0185,107925.2240,0,26.303838675599987
NP,opisthokonta,3,m4,optimizedtruetree,-54734.8967,138,109745.7934,109852.6569,110326.8562,0,43.379184242099996
NP,opisthokonta,3,m5,optimizedtruetree,-60997.1006,137,122268.2011,122373.2345,122845.0533,0,43.407465828899994
NP,opisthokonta,3,poisson,optimizedtruetree,-55899.0158,137,112072.0316,112177.0649,112648.8838,0,24.668738319
NP,prum,3,m1,inferredtree,-28006.6631,399,56811.3262,60068.4691,58491.3556,70,9.2200163512
NP,prum,3,m2,inferredtree,-28794.7271,417,58423.4542,62781.1042,60179.2744,66,8.227276402400005
NP,prum,3,m3,inferredtree,-29259.6970,417,59353.3939,63711.0439,61109.2142,72,8.365464120699993
NP,prum,3,m4,inferredtree,-29788.3556,399,60374.7113,63631.8541,62054.7407,74,8.907870539799989
NP,prum,3,m5,inferredtree,-33549.0414,397,67892.0829,71052.2029,69563.6911,72,10.39116275759998
NP,prum,3,poisson,inferredtree,-30553.9367,397,61901.8733,65061.9933,63573.4816,72,8.193540050499994
NP,prum,3,m1,optimizedtruetree,-28018.2411,399,56834.4823,60091.6252,58514.5117,0,9.201559298299994
NP,prum,3,m2,optimizedtruetree,-28806.5723,417,58447.1447,62804.7947,60202.9649,0,8.236443626999998
NP,prum,3,m3,optimizedtruetree,-29273.1640,417,59380.3280,63737.9780,61136.1482,0,8.372930760799989
NP,prum,3,m4,optimizedtruetree,-29803.9286,399,60405.8573,63663.0001,62085.8867,0,8.907003326199987
NP,prum,3,m5,optimizedtruetree,-33581.7838,397,67957.5677,71117.6877,69629.1759,0,10.397873392800006
