name,tree,repl,bic,model,modelr
HA,ruhfel,7,NA,PMB+F,2
HA,ruhfel,7,NA,mtInv,3
HA,ruhfel,7,NA,mtART+G4,4
HA,ruhfel,7,NA,mtART,5
HA,ruhfel,8,NA,JTT+G4,1
HA,ruhfel,8,NA,PMB+F,2
HA,ruhfel,8,NA,mtInv,3
HA,ruhfel,8,NA,mtART+G4,4
HA,ruhfel,8,NA,mtART,5
HA,ruhfel,9,NA,JTT+F+G4,1
HA,ruhfel,9,NA,PMB,2
HA,ruhfel,9,NA,mtInv,3
HA,ruhfel,9,NA,mtART+G4,4
HA,ruhfel,9,NA,mtART,5
HA,ruhfel,10,NA,JTT+F+G4,1
HA,ruhfel,10,NA,DCMut+F,2
HA,ruhfel,10,NA,mtVer,3
HA,ruhfel,10,NA,mtART+G4,4
HA,ruhfel,10,NA,mtART,5
HA,ruhfel,11,NA,JTT+G4,1
HA,ruhfel,11,NA,PMB+F,2
HA,ruhfel,11,NA,mtInv,3
HA,ruhfel,11,NA,mtART+G4,4
HA,ruhfel,11,NA,mtART,5
HA,ruhfel,12,NA,JTT+F+G4,1
HA,ruhfel,12,NA,DCMut+F+I,2
HA,ruhfel,12,NA,mtVer,3
HA,ruhfel,12,NA,mtART+G4,4
HA,ruhfel,12,NA,mtART,5
HA,ruhfel,13,NA,JTT+F+G4,1
HA,ruhfel,13,NA,PMB,2
HA,ruhfel,13,NA,mtVer,3
HA,ruhfel,13,NA,mtART+G4,4
HA,ruhfel,13,NA,mtART,5
HA,ruhfel,14,NA,JTT+G4,1
HA,ruhfel,14,NA,DCMut+F,2
HA,ruhfel,14,NA,mtVer,3
HA,ruhfel,14,NA,mtART+G4,4
HA,ruhfel,14,NA,mtART,5
HA,ruhfel,15,NA,JTT+F+G4,1
HA,ruhfel,15,NA,PMB+F,2
HA,ruhfel,15,NA,mtVer,3
HA,ruhfel,15,NA,mtART+G4,4
HA,ruhfel,15,NA,mtART,5
HA,ruhfel,16,NA,JTT+F+G4,1
HA,ruhfel,16,NA,PMB+F,2
HA,ruhfel,16,NA,mtInv+I,3
HA,ruhfel,16,NA,mtART+I+G4,4
HA,ruhfel,16,NA,mtART,5
HA,ruhfel,17,NA,JTT+F+G4,1
HA,ruhfel,17,NA,Dayhoff+F,2
HA,ruhfel,17,NA,mtVer,3
HA,ruhfel,17,NA,mtART+G4,4
HA,ruhfel,17,NA,mtART,5
HA,ruhfel,18,NA,JTT+F+G4,1
HA,ruhfel,18,NA,PMB+F,2
HA,ruhfel,18,NA,mtVer,3
HA,ruhfel,18,NA,mtART+G4,4
HA,ruhfel,18,NA,mtART,5
HA,ruhfel,19,NA,JTT+G4,1
HA,ruhfel,19,NA,mtREV+F+G4,2
HA,ruhfel,19,NA,mtZOA+F,3
HA,ruhfel,19,NA,mtART+G4,4
HA,ruhfel,19,NA,mtART,5
HA,ruhfel,20,NA,JTT+F+G4,1
HA,ruhfel,20,NA,mtREV+F+G4,2
HA,ruhfel,20,NA,mtInv,3
HA,ruhfel,20,NA,mtART+G4,4
HA,ruhfel,20,NA,mtART,5
HA,salichos,1,NA,JTT+F+I+G4,1
HA,salichos,1,NA,HIVw+I+G4,2
HA,salichos,1,NA,mtZOA+F+I,3
HA,salichos,1,NA,mtART+F+I,4
HA,salichos,1,NA,mtART,5
HA,salichos,2,NA,JTT+F+I+G4,1
HA,salichos,2,NA,rtREV+G4,2
HA,salichos,2,NA,mtZOA+F,3
HA,salichos,2,NA,mtART+F,4
HA,salichos,2,NA,mtART,5
HA,salichos,3,NA,JTT+F+G4,1
HA,salichos,3,NA,LG+I,2
HA,salichos,3,NA,mtZOA+F,3
HA,salichos,3,NA,mtART+F,4
HA,salichos,3,NA,mtART,5
HA,salichos,4,NA,JTT+F+I+G4,1
HA,salichos,4,NA,HIVw+F,2
HA,salichos,4,NA,mtART+F+G4,3
HA,salichos,4,NA,mtART+F+I,4
HA,salichos,4,NA,mtART,5
HA,salichos,5,NA,JTT+F+I+G4,1
HA,salichos,5,NA,FLU+F,2
HA,salichos,5,NA,mtART+F+G4,3
HA,salichos,5,NA,mtART+F+I,4
HA,salichos,5,NA,mtART,5
HA,salichos,6,NA,JTT+F+G4,1
HA,salichos,6,NA,LG+I,2
HA,salichos,6,NA,mtZOA+F+I,3
HA,salichos,6,NA,mtART+F,4
HA,salichos,6,NA,mtART,5
HA,salichos,7,NA,JTT+F+I+G4,1
HA,salichos,7,NA,rtREV+I+G4,2
HA,salichos,7,NA,mtZOA+F+I,3
HA,salichos,7,NA,mtART+F,4
HA,salichos,7,NA,mtART,5
HA,salichos,8,NA,JTT+F+G4,1
HA,salichos,8,NA,HIVw+F+I,2
HA,salichos,8,NA,mtART+F+G4,3
HA,salichos,8,NA,mtART+F+I,4
HA,salichos,8,NA,mtART,5
HA,salichos,9,NA,JTT+F+I+G4,1
HA,salichos,9,NA,mtInv+F+I,2
HA,salichos,9,NA,mtZOA+F+I,3
HA,salichos,9,NA,mtART+F,4
HA,salichos,9,NA,mtART,5
