name,tree,repl,model,logl,df,aic,aicc,bic
HA,yeast,3,WAG+F+G4,80526.921,209,161471.842,161719.808,162377.869
HA,yeast,3,cpREV,83285.438,189,166948.877,167140.909,167768.202
HA,yeast,3,cpREV+G4,81761.410,190,163902.819,164097.404,164726.480
HA,yeast,3,cpREV+F,82652.200,208,165720.401,165965.314,166622.092
HA,yeast,3,cpREV+F+G4,81145.034,209,162708.068,162956.034,163614.094
HA,yeast,3,mtREV,88709.612,189,177797.224,177989.256,178616.549
HA,yeast,3,mtREV+G4,86119.703,190,172619.406,172813.990,173443.066
HA,yeast,3,mtREV+F,85035.452,208,170486.905,170731.817,171388.596
HA,yeast,3,mtREV+F+G4,82871.272,209,166160.544,166408.510,167066.571
HA,yeast,3,rtREV,85562.447,189,171502.895,171694.927,172322.220
HA,yeast,3,rtREV+G4,83943.232,190,168266.463,168461.048,169090.124
HA,yeast,3,rtREV+F,84556.555,208,169529.109,169774.022,170430.801
HA,yeast,3,rtREV+F+G4,82872.366,209,166162.732,166410.698,167068.758
HA,yeast,3,mtART,94300.245,189,188978.490,189170.522,189797.815
HA,yeast,3,mtART+G4,90307.869,190,180995.738,181190.322,181819.398
HA,yeast,3,mtART+F,90647.749,208,181711.499,181956.412,182613.190
HA,yeast,3,mtART+F+G4,87092.257,209,174602.514,174850.480,175508.540
HA,yeast,3,mtZOA,89889.322,189,180156.644,180348.676,180975.969
HA,yeast,3,mtZOA+G4,86788.399,190,173956.797,174151.382,174780.458
HA,yeast,3,mtZOA+F,87510.752,208,175437.504,175682.416,176339.195
HA,yeast,3,mtZOA+F+G4,84731.126,209,169880.251,170128.217,170786.278
HA,yeast,3,VT,82583.850,189,165545.700,165737.732,166365.025
HA,yeast,3,VT+G4,81301.219,190,162982.439,163177.023,163806.099
HA,yeast,3,VT+F,81876.356,208,164168.713,164413.625,165070.404
HA,yeast,3,VT+F+G4,80597.291,209,161612.583,161860.549,162518.609
HA,yeast,3,LG,84343.456,189,169064.913,169256.945,169884.238
HA,yeast,3,LG+G4,82755.770,190,165891.540,166086.125,166715.201
HA,yeast,3,LG+F,83680.053,208,167776.107,168021.019,168677.798
HA,yeast,3,LG+F+G4,82033.397,209,164484.794,164732.760,165390.820
HA,yeast,3,DCMut,84705.958,189,169789.917,169981.949,170609.242
HA,yeast,3,DCMut+G4,82859.998,190,166099.996,166294.580,166923.656
HA,yeast,3,DCMut+F,83435.161,208,167286.322,167531.234,168188.013
HA,yeast,3,DCMut+F+G4,81669.252,209,163756.504,164004.470,164662.531
HA,yeast,3,PMB,83075.537,189,166529.074,166721.106,167348.400
HA,yeast,3,PMB+G4,81772.580,190,163925.160,164119.745,164748.821
HA,yeast,3,PMB+F,82762.101,208,165940.202,166185.115,166841.893
HA,yeast,3,PMB+F+G4,81453.436,209,163324.872,163572.838,164230.898
HA,yeast,3,HIVb,83014.256,189,166406.511,166598.543,167225.836
HA,yeast,3,HIVb+G4,81312.459,190,163004.918,163199.503,163828.578
HA,yeast,3,HIVb+F,82535.660,208,165487.319,165732.232,166389.010
HA,yeast,3,HIVb+F+G4,80779.645,209,161977.289,162225.255,162883.316
HA,yeast,3,HIVw,86040.231,189,172458.463,172650.495,173277.788
HA,yeast,3,HIVw+G4,84034.192,190,168448.384,168642.969,169272.044
HA,yeast,3,HIVw+F,84014.237,208,168444.474,168689.387,169346.165
HA,yeast,3,HIVw+F+G4,82136.196,209,164690.392,164938.358,165596.419
HA,yeast,3,JTTDCMut,82070.708,189,164519.416,164711.448,165338.741
HA,yeast,3,JTTDCMut+G4,80578.652,190,161537.303,161731.887,162360.963
HA,yeast,3,JTTDCMut+F,81556.351,208,163528.702,163773.615,164430.394
HA,yeast,3,JTTDCMut+F+G4,80062.607,209,160543.214,160791.180,161449.241
HA,yeast,3,FLU,85087.120,189,170552.241,170744.273,171371.566
HA,yeast,3,FLU+G4,83217.352,190,166814.705,167009.289,167638.365
HA,yeast,3,FLU+F,83692.209,208,167800.419,168045.331,168702.110
HA,yeast,3,FLU+F+G4,81879.623,209,164177.246,164425.212,165083.273
HA,yeast,3,Blosum62,83870.647,189,168119.294,168311.326,168938.619
HA,yeast,3,Blosum62+G4,82494.551,190,165369.102,165563.687,166192.762
HA,yeast,3,Blosum62+F,83276.449,208,166968.898,167213.810,167870.589
HA,yeast,3,Blosum62+F+G4,81905.564,209,164229.127,164477.093,165135.153
HA,yeast,3,mtMet,88002.381,189,176382.761,176574.793,177202.087
HA,yeast,3,mtMet+G4,85590.897,190,171561.793,171756.378,172385.454
HA,yeast,3,mtMet+F,84471.102,208,169358.205,169603.117,170259.896
HA,yeast,3,mtMet+F+G4,82371.265,209,165160.530,165408.496,166066.556
HA,yeast,3,mtVer,88571.029,189,177520.059,177712.091,178339.384
HA,yeast,3,mtVer+G4,85860.778,190,172101.556,172296.140,172925.216
HA,yeast,3,mtVer+F,84895.925,208,170207.850,170452.763,171109.541
HA,yeast,3,mtVer+F+G4,82795.117,209,166008.233,166256.200,166914.260
HA,yeast,3,mtInv,88288.843,189,176955.686,177147.718,177775.011
HA,yeast,3,mtInv+G4,86144.212,190,172668.425,172863.009,173492.085
HA,yeast,3,mtInv+F,84106.788,208,168629.576,168874.489,169531.267
HA,yeast,3,mtInv+F+G4,82155.279,209,164728.558,164976.524,165634.585
HA,yeast,4,Dayhoff,82742.399,189,165862.798,166054.831,166682.124
HA,yeast,4,Dayhoff+G4,81000.374,190,162380.749,162575.333,163204.409
HA,yeast,4,Dayhoff+F,81609.485,208,163634.969,163879.882,164536.660
HA,yeast,4,Dayhoff+F+G4,79869.222,209,160156.443,160404.409,161062.469
HA,yeast,4,mtMAM,90061.300,189,180500.599,180692.632,181319.925
HA,yeast,4,mtMAM+G4,86532.537,190,173445.074,173639.658,174268.734
HA,yeast,4,mtMAM+F,85930.139,208,172276.277,172521.190,173177.969
HA,yeast,4,mtMAM+F+G4,83134.056,209,166686.112,166934.078,167592.138
HA,yeast,4,JTT,79825.184,189,160028.369,160220.401,160847.694
HA,yeast,4,JTT+G4,78540.425,190,157460.849,157655.434,158284.509
HA,yeast,4,JTT+F,79428.660,208,159273.320,159518.233,160175.011
HA,yeast,4,JTT+F+G4,78052.499,209,156522.997,156770.963,157429.023
HA,yeast,4,WAG,80642.233,189,161662.467,161854.499,162481.792
HA,yeast,4,WAG+G4,79421.633,190,159223.267,159417.851,160046.927
HA,yeast,4,WAG+F,79851.704,208,160119.409,160364.321,161021.100
HA,yeast,4,WAG+F+G4,78607.256,209,157632.512,157880.478,158538.538
HA,yeast,4,cpREV,81228.092,189,162834.183,163026.215,163653.508
HA,yeast,4,cpREV+G4,79834.356,190,160048.712,160243.297,160872.372
HA,yeast,4,cpREV+F,80753.446,208,161922.891,162167.804,162824.583
HA,yeast,4,cpREV+F+G4,79289.438,209,158996.876,159244.842,159902.902
HA,yeast,4,mtREV,86662.225,189,173702.450,173894.482,174521.775
HA,yeast,4,mtREV+G4,84210.336,190,168800.671,168995.256,169624.332
HA,yeast,4,mtREV+F,83268.339,208,166952.679,167197.591,167854.370
HA,yeast,4,mtREV+F+G4,81074.806,209,162567.613,162815.579,163473.639
HA,yeast,4,rtREV,83385.789,189,167149.578,167341.610,167968.903
HA,yeast,4,rtREV+G4,81967.609,190,164315.219,164509.803,165138.879
HA,yeast,4,rtREV+F,82550.026,208,165516.052,165760.965,166417.744
HA,yeast,4,rtREV+F+G4,80958.125,209,162334.250,162582.216,163240.276
HA,yeast,4,mtART,92387.637,189,185153.274,185345.306,185972.599
HA,yeast,4,mtART+G4,88516.326,190,177412.653,177607.237,178236.313
HA,yeast,4,mtART+F,88948.007,208,178312.013,178556.926,179213.704
HA,yeast,4,mtART+F+G4,85446.661,209,171311.321,171559.287,172217.347
HA,yeast,4,mtZOA,87902.450,189,176182.899,176374.931,177002.224
HA,yeast,4,mtZOA+G4,84978.750,190,170337.501,170532.085,171161.161
HA,yeast,4,mtZOA+F,85720.281,208,171856.563,172101.475,172758.254
HA,yeast,4,mtZOA+F+G4,83018.396,209,166454.791,166702.758,167360.818
HA,yeast,4,VT,80518.170,189,161414.339,161606.371,162233.665
HA,yeast,4,VT+G4,79392.552,190,159165.105,159359.689,159988.765
HA,yeast,4,VT+F,79898.740,208,160213.480,160458.393,161115.172
HA,yeast,4,VT+F+G4,78719.239,209,157856.479,158104.445,158762.505
